,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
6596,1438856086707126273,1438856054457184256,2021-09-17 09:23:18 Eastern Daylight Time,2021-09-17,09:23:18,-400,1362860562359734277,appletester_rus,Yaroslav Gavrilov ,,"AnTuTu, the new iPhone 13 Pro with an A15 Bionic processor, 6 GB of RAM and a 1 TB drive gave out an impressive 839,675 points. This is more than 100 thousand more compared to last year's iPhone 12 Pro, which shows about 700,000 points. If you look at a more detailed comparison",en,[],[],[],1,0,0,[],[],https://twitter.com/appletester_rus/status/1438856086707126273,False,,0,,,,,,,,[],,,,
6599,1438856066167721992,1438856066167721992,2021-09-17 09:23:13 Eastern Daylight Time,2021-09-17,09:23:13,-400,763832490003984384,vivekkapur9,Vivek Kapur,,iPhone 13 preordered ✅✅,en,[],[],[],0,0,0,[],[],https://twitter.com/VivekKapur9/status/1438856066167721992,False,,0,,,,,,,,[],,,,
6601,1438856039978487809,1438638892526284801,2021-09-17 09:23:07 Eastern Daylight Time,2021-09-17,09:23:07,-400,977546301268287488,imgrund1991,Daniel Imgrund,,@williamlegate Funny thing is people are always Leary about buying new phones until they see reviews from others. iPhone 13 is like comparing the 13 booster shot to iPhone 13. Most people when a brand new phone comes out wait till all the bugs are worked out or wait for gen 2,en,[],[],[],0,0,0,[],[],https://twitter.com/imgrund1991/status/1438856039978487809,False,,0,,,,,,,,"[{'screen_name': 'williamlegate', 'name': 'William LeGate', 'id': '38029205'}]",,,,
6603,1438856032567103495,1438856032567103495,2021-09-17 09:23:05 Eastern Daylight Time,2021-09-17,09:23:05,-400,16417526,phonearena,PhoneArena,,Delivery times for Apple's iPhone 13 Pro and Pro Max are slipping into October.  https://t.co/sOIIO4CEd9,en,[],['https://www.phonearena.com/news/apple-iphone-13-pro-max-delivery-time-delays_id135134?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1631884972'],[],1,2,15,[],[],https://twitter.com/PhoneArena/status/1438856032567103495,False,,0,,,,,,,,[],,,,
6604,1438856031761805321,1438856031761805321,2021-09-17 09:23:05 Eastern Daylight Time,2021-09-17,09:23:05,-400,1425612968457379847,xmattperkins,Matt Perkins,,"So I finished upgrading to the iPhone 13 Pro Max 1B. Finished it at 8:03 am which was the moment they let me access the app. So it’s close to $300 upfront. Upgrade fee by ATT, 1 month early upgrade fee, payment for this month plus $150 in sales tax",en,[],[],[],0,0,0,[],[],https://twitter.com/xMattPerkins/status/1438856031761805321,False,,0,,,,,,,,[],,,,
6608,1438856013889871881,1438856013889871881,2021-09-17 09:23:01 Eastern Daylight Time,2021-09-17,09:23:01,-400,917355801727119361,beebearh,boss_lady👩‍🎤,,How many doggy for iphone 13 pro max ????? Only girls plz.,en,[],[],[],1,0,4,[],[],https://twitter.com/beebearh/status/1438856013889871881,False,,0,,,,,,,,[],,,,
6610,1438855994239557643,1438846133871251459,2021-09-17 09:22:56 Eastern Daylight Time,2021-09-17,09:22:56,-400,556042507,shorty_staa,Nceba,,@Tum_Tumy_ Askies…. Time to get the iPhone 13 🤭😝,en,[],[],[],1,0,0,[],[],https://twitter.com/shorty_staa/status/1438855994239557643,False,,0,,,,,,,,"[{'screen_name': 'Tum_Tumy_', 'name': 'Tumelo', 'id': '1360503882707841027'}]",,,,
6611,1438855984307449856,1438855984307449856,2021-09-17 09:22:53 Eastern Daylight Time,2021-09-17,09:22:53,-400,1424818387805409281,oh_itsmackie,Mackie,,"📱13 PreOrder Day is among us. 🛑 in at your local T-Mobile store #iphone13preorder and take a vantage of our first ever iPhone forever upgrade program, see you soon @TMobile is open early @MikeSievert @JonFreier @Mike_Katz @Apple @GoPro  https://t.co/yPkY5EL8u0",en,"[{'screen_name': 'tmobile', 'name': 't-mobile', 'id': '17338082'}, {'screen_name': 'mikesievert', 'name': 'mike sievert', 'id': '308526298'}, {'screen_name': 'jonfreier', 'name': 'jon freier', 'id': '2233827168'}, {'screen_name': 'mike_katz', 'name': 'mike katz', 'id': '1880757913'}, {'screen_name': 'apple', 'name': 'apple', 'id': '380749300'}, {'screen_name': 'gopro', 'name': 'gopro', 'id': '32340023'}]",[],[],0,5,20,['iphone13preorder'],[],https://twitter.com/Oh_ItsMackie/status/1438855984307449856,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1438855830321963012/pu/img/1euqOowcvCYgA7hD.jpg,,,,,,,[],,,,
6612,1438855983627911177,1438855983627911177,2021-09-17 09:22:53 Eastern Daylight Time,2021-09-17,09:22:53,-400,730935762435219456,shadow0pz,CONDITION.BLACK ,,Sorry why should I buy an iPhone 13 again?  I'm Confused?,en,[],[],[],12,0,11,[],[],https://twitter.com/Shadow0pz/status/1438855983627911177,False,,0,,,,,,,,[],,,,
6613,1438855977634254851,1438855977634254851,2021-09-17 09:22:52 Eastern Daylight Time,2021-09-17,09:22:52,-400,1033828094,mahmoudsmgl,Mahmoud Hamad,,My whole timeline is currently already filled with all the  sierra blue iPhone 13 Pro and 13 mini preorders 😅,en,[],[],[],0,0,0,[],[],https://twitter.com/MahmoudSMGL/status/1438855977634254851,False,,0,,,,,,,,[],,,,
6616,1438855965231693828,1438845095634038784,2021-09-17 09:22:49 Eastern Daylight Time,2021-09-17,09:22:49,-400,15554781,texaspenguin,Peter Nguyen 🏳️‍🌈,,@iamMachias When was the last time you said “new iPhone 13 Pro is ordered?”  *runs away*,en,[],[],[],2,0,1,[],[],https://twitter.com/texaspenguin/status/1438855965231693828,False,,0,,,,,,,,"[{'screen_name': 'iamMachias', 'name': 'J.P. Wing', 'id': '1360627932977315856'}]",,,,
6623,1438855906574413826,1438855906574413826,2021-09-17 09:22:35 Eastern Daylight Time,2021-09-17,09:22:35,-400,1336128784500621314,loosebootyyonce,Sami (C0KEWH0RE ERA),,Getting IPhone 13 pro max for only €699 🙏,en,[],[],[],1,0,1,[],[],https://twitter.com/loosebootyyonce/status/1438855906574413826,False,,0,,,,,,,,[],,,,
