iter	Passed	Remaining
727	155360	58046
728	155578	57835
729	155783	57618
730	155996	57404
731	156216	57194
732	156422	56977
733	156620	56758
734	156830	56544
735	157032	56326
736	157229	56107
737	157425	55888
738	157629	55671
739	157839	55457
740	158040	55239
741	158259	55028
742	158472	54814
743	158699	54606
744	158927	54398
745	159142	54185
746	159347	53969
747	159552	53753
748	159759	53537
749	159961	53320
750	160173	53106
751	160378	52890
752	160585	52675
753	160791	52459
754	160999	52244
755	161203	52028
756	161420	51816
757	161640	51605
758	161841	51388
759	162052	51174
760	162256	50958
761	162455	50740
762	162662	50525
763	162863	50308
764	163065	50092
765	163264	49874
766	163471	49659
767	163672	49442
768	163875	49226
769	164082	49011
770	164285	48795
771	164479	48576
772	164674	48358
773	164870	48140
774	165073	47924
775	165279	47709
776	165479	47492
777	165691	47279
778	165902	47066
779	166134	46858
780	166333	46641
781	166539	46426
782	166762	46216
783	166968	46001
784	167166	45784
785	167378	45571
786	167600	45360
787	167812	45147
788	168033	44936
789	168258	44726
790	168476	44515
791	168693	44303
792	168909	44091
793	169116	43876
794	169343	43667
795	169561	43455
796	169774	43242
797	169987	43029
798	170195	42815
799	170408	42602
800	170621	42389
801	170832	42175
802	171051	41964
803	171270	41752
804	171475	41537
805	171689	41324
806	171893	41109
807	172095	40893
808	172297	40678
809	172500	40463
810	172710	40249
811	172916	40034
812	173128	39821
813	173330	39606
814	173534	39391
815	173752	39179
816	173952	38963
817	174161	38749
818	174381	38538
819	174590	38324
820	174809	38113
821	175015	37898
822	175214	37682
823	175418	37468
824	175615	37251
825	175837	37040
826	176044	36826
827	176254	36613
828	176466	36400
829	176672	36185
830	176891	35974
831	177118	35764
832	177324	35550
833	177532	35336
834	177741	35122
835	177944	34907
836	178147	34693
837	178365	34481
838	178572	34267
839	178775	34052
840	178985	33839
841	179193	33625
842	179404	33412
843	179629	33201
844	179838	32988
845	180047	32774
846	180255	32560
847	180461	32346
848	180666	32132
849	180875	31919
850	181076	31704
851	181297	31493
852	181506	31279
853	181715	31066
854	181917	30851
855	182127	30638
856	182337	30424
857	182540	30210
858	182743	29996
859	182943	29781
